Titres;*chaine_BarbareCivilise;*chaine_FDENEWS;*chaine_JulienRochedy;*chaine_codeReinho;*chaine_LeRaptor;*chaine_ThaisdEscufon;*chaine_VAplus;*chaine_LAssimile;*chaine_Valek;*chaine_Psyhodelik;*chaine_BrunoleSale;*chaine_ElRayhan;*chaine_BENCHCIGARS;*chaine_Ring
vois;6;0;0;0;0;0;0;2;2;6;1;1;9;144
allait;2;0;0;0;3;0;1;0;0;0;3;0;0;2
beaucoup;6;1;7;1;2;8;10;4;4;3;4;3;18;10
différents;2;0;1;0;0;0;0;0;4;0;1;0;1;0
types;1;0;0;2;0;0;0;0;1;0;1;0;0;2
mot;4;14;0;0;2;1;0;0;0;0;0;0;0;0
cour;1;0;0;0;0;0;1;0;0;0;0;0;0;0
suffisant;1;0;0;0;1;0;0;0;0;0;0;0;0;0
vraiment;8;0;3;9;4;4;5;0;2;9;5;0;22;13
moment;11;0;2;6;5;8;5;0;0;2;6;2;7;16
eh;1;0;2;0;0;0;0;0;0;1;0;0;0;0
permettre;2;0;0;1;0;3;0;0;2;0;0;1;0;0
encadrer;1;0;0;0;1;0;0;0;0;0;0;0;0;0
agit;2;0;3;0;4;1;2;0;1;0;0;1;1;1
long;1;0;0;0;1;0;1;1;0;1;0;0;1;1
dégueulasse;1;0;0;0;0;0;0;0;0;0;1;0;0;0
casser;1;0;0;0;0;1;0;0;3;0;1;0;0;0
harmonie;2;0;0;0;0;0;0;0;0;0;0;0;0;0
delà;1;1;0;0;0;0;0;0;0;0;0;0;0;0
puisque;2;0;0;0;4;3;4;0;1;0;1;0;0;1
espace;1;0;0;0;1;0;0;0;0;0;0;0;0;0
lignes;2;0;0;0;0;0;0;0;0;0;0;0;0;0
met;1;0;1;2;1;0;2;1;0;2;0;0;0;9
dernière;1;0;0;0;5;3;2;0;0;1;2;1;1;0
lettre;2;0;0;0;0;0;0;0;0;0;3;0;0;0
première;1;0;1;1;6;0;5;0;3;6;0;3;4;0
forme;5;1;1;2;0;0;1;0;0;0;0;2;1;0
compliqué;1;0;0;1;0;1;1;0;2;4;2;1;1;0
parfois;1;0;1;1;2;1;1;1;1;0;0;1;0;0
problème;6;1;1;5;4;1;3;2;1;1;1;1;2;3
vocabulaire;2;0;0;0;0;0;0;0;0;0;0;0;0;1
sortir;2;1;2;0;2;1;0;1;1;2;5;7;0;1
téléphone;1;0;0;0;0;0;2;0;0;0;0;0;1;0
chercher;1;0;0;0;0;2;0;0;0;0;1;0;2;0
définition;1;1;0;1;0;2;1;0;0;0;0;1;0;0
conseille;1;0;0;0;0;3;0;0;1;0;0;0;0;0
sens;4;3;5;0;1;1;4;2;2;6;0;0;1;4
er;1;0;0;0;0;0;2;0;0;0;1;0;0;0
mai;1;0;1;0;1;1;0;1;0;0;1;0;0;0
sinon;1;0;1;5;1;1;0;0;1;0;7;0;0;0
tant;2;1;4;0;3;4;3;1;2;3;1;8;2;1
pis;1;0;0;0;0;0;0;0;0;0;0;0;0;1
probablement;1;0;0;0;0;0;2;0;0;0;0;1;0;0
reste;1;2;2;0;1;1;2;2;1;0;0;0;1;3
